Nombre,Seccion
Juan Pérez,Pescadería
Ana García,Pescadería
Luis Rodríguez,Pescadería
María López,Pescadería
Carlos Sánchez,Pescadería
Laura Martínez,Panadería
Pedro González,Panadería
Sofía Fernández,Panadería
Miguel Gómez,Panadería
Elena Ruiz,Panadería
Javier Díaz,Fruta
Carmen Álvarez,Fruta
Antonio Jiménez,Fruta
Isabel Moreno,Fruta
Manuel Muñoz,Fruta
Rosa Romero,Charcutería
Francisco Navarro,Charcutería
Paula Torres,Charcutería
David Domínguez,Charcutería
Lucía Gil,Charcutería
José Serrano,Carnicería
Teresa Blanco,Carnicería
Daniel Molina,Carnicería
Raquel Morales,Carnicería
Alejandro Ortega,Carnicería
